360	2.41479	0.28517				
370	2.37879	0.2214				
380	2.34287	0.15979				
390	2.30722	0.10005				
400	2.27177	0.06081				
410	2.23546	0.03699				
420	2.20248	0.02215				
430	2.17346	0.01214				
440	2.14845	0.00595				
450	2.12699	0.00271				
460	2.10854	0.0011				
470	2.09263	4.95E-04				
480	2.07876	5.28E-04				
490	2.06663	5.98E-04				
500	2.05606	5.89E-04				
510	2.04689	5.65E-04				
520	2.03889	5.43E-04				
530	2.03174	5.23E-04				
540	2.02525	5.06E-04				
550	2.01932	4.89E-04				
560	2.01391	4.73E-04				
570	2.00897	4.55E-04				
580	2.00456	4.36E-04				
590	2.00077	4.16E-04				
600	1.99752	3.94E-04				
610	1.99462	3.72E-04				
620	1.99198	3.51E-04				
630	1.98955	3.31E-04				
640	1.98724	3.11E-04				
650	1.98497	2.89E-04				
660	1.9828	2.67E-04				
670	1.9808	2.44E-04				
680	1.97894	2.22E-04				
690	1.97718	2.01E-04				
700	1.97556	1.82E-04				
710	1.97407	1.65E-04				
720	1.97266	1.46E-04				
730	1.97136	1.25E-04				
740	1.97018	1.05E-04				
750	1.9691	8.52E-05				
760	1.9681	6.68E-05				
770	1.96725	4.82E-05				
780	1.96657	3.22E-05				
790	1.96596	2.47E-05				
800	1.96513	3.00E-05				
810	1.9637	4.40E-05				
820	1.9615	5.03E-05				
830	1.95864	3.57E-05				
840	1.95564	4.23E-07				
850	1.95305	3.81E-05				
860	1.95211	5.43E-05				
870	1.95125	4.20E-05				
880	1.95051	1.65E-05				
890	1.94997	9.08E-06				
900	1.94965	3.45E-05				
