103.3	3.31E-01	7.46E-01
107.8	3.59E-01	8.35E-01
112.7	3.90E-01	9.30E-01
118.1	4.23E-01	1.03E+00
124	4.59E-01	1.13E+00
130.5	4.99E-01	1.24E+00
137.8	5.45E-01	1.35E+00
145.9	5.99E-01	1.47E+00
155	6.63E-01	1.60E+00
165.3	7.41E-01	1.73E+00
177.1	8.38E-01	1.89E+00
190.7	9.64E-01	2.07E+00
206.6	1.14E+00	2.27E+00
225.4	1.37E+00	2.50E+00
248	1.71E+00	2.74E+00
258.3	1.88E+00	2.83E+00
269.5	2.07E+00	2.91E+00
281.8	2.31E+00	2.97E+00
295.2	2.57E+00	3.01E+00
310	2.87E+00	3.02E+00
326.3	3.19E+00	2.97E+00
344.4	3.54E+00	2.85E+00
354.3	3.70E+00	2.75E+00
364.7	3.86E+00	2.65E+00
387.5	4.12E+00	2.36E+00
413.3	4.32E+00	2.03E+00
442.8	4.42E+00	1.68E+00
476.9	4.47E+00	1.32E+00
496	4.46E+00	1.16E+00
516.6	4.44E+00	9.95E-01
563.6	4.35E+00	7.41E-01
619.9	4.24E+00	4.86E-01
652.6	4.17E+00	3.82E-01
688.8	4.09E+00	2.91E-01
729.3	4.02E+00	2.18E-01
774.9	3.94E+00	1.49E-01
826.6	3.86E+00	9.43E-02
885.6	3.78E+00	5.01E-02
953.8	3.70E+00	2.13E-02
1033	3.63E+00	6.04E-03
1127	3.58E+00	7.12E-04
1240	3.54E+00	0.00E+00
1378	3.51E+00	0.00E+00
1550	3.48E+00	0.00E+00
1771	3.46E+00	0.00E+00
2066	3.43E+00	0.00E+00
