0.6		1.064		14.4
0.65		0.9879		13.16
0.7		0.844		12.2
0.75		0.6726		11.45
0.8		0.514		10.8
0.85		0.4386		10.11
0.9		0.396		9.48
0.95		0.36		8.954
1		0.329		8.49
1.05		0.2874		8.061
1.1		0.251		7.67
1.15		0.2354		7.314
1.2		0.226		6.99
1.25		0.2126		6.698
1.3		0.198		6.43
1.35		0.1799		6.183
1.4		0.163		5.95
1.45		0.1519		5.721
1.5		0.145		5.5
1.55		0.1426		5.289
1.6		0.143		5.09
1.65		0.1459		4.908
1.7		0.148		4.74
1.75		0.1443		4.586
1.8		0.14		4.44
1.85		0.1401		4.293
1.9		0.14		4.15
1.95		0.1361		4.011
2		0.131		3.88
2.05		0.1255		3.766
2.1		0.121		3.66
2.15		0.1193		3.554
2.2		0.12		3.45
2.25		0.1244		3.348
2.3		0.129		3.25
2.35		0.1301		3.159
2.4		0.13		3.07
2.45		0.1299		2.974
2.5		0.13		2.88
2.55		0.1303		2.798
2.6		0.132		2.72
2.65		0.1373		2.64
2.7		0.144		2.56
2.75		0.1511		2.479
2.8		0.157		2.4
2.85		0.1585		2.329
2.9		0.16		2.26
2.95		0.1667		2.186
3		0.173		2.11
3.05		0.1726		2.029
3.1		0.173		1.95
3.15		0.182		1.879
3.2		0.192		1.81
3.25		0.1981		1.735
3.3		0.2		1.67
3.35		0.1921		1.642
3.4		0.186		1.61
3.45		0.1948		1.534
3.5		0.209		1.44
3.55		0.2214		1.345
3.6		0.238		1.24
3.65		0.2533		1.121
3.7		0.294		0.986
3.75		0.3881		0.8186
3.8		0.526		0.663
3.85		0.7191		0.5544
3.9		0.932		0.504
3.95		1.142		0.5509
4		1.323		0.647
4.05		1.433		0.7611
4.1		1.496		0.882
4.15		1.519		0.9888
4.2		1.519		1.08
4.25		1.514		1.143
4.3		1.502		1.19
4.35		1.49		1.229
4.4		1.476		1.26
4.45		1.459		1.288
4.5		1.441		1.31
4.55		1.422		1.322
4.6		1.404		1.33
4.65		1.388		1.341
4.7		1.372		1.35
4.75		1.357		1.351
4.8		1.343		1.35
4.85		1.331		1.35
4.9		1.32		1.35
4.95		1.309		1.351
5		1.298		1.35
5.05		1.29		1.346
5.1		1.282		1.34
5.15		1.273		1.335
5.2		1.265		1.33
5.25		1.257		1.325
5.3		1.25		1.32
5.35		1.244		1.315
5.4		1.238		1.31
5.45		1.231		1.307
5.5		1.223		1.305
5.55		1.216		1.303
5.6		1.208		1.3
5.65		1.199		1.298
5.7		1.19		1.295
5.75		1.182		1.293
5.8		1.173		1.29
5.85		1.161		1.285
5.9		1.149		1.28
5.95		1.137		1.275
6		1.125		1.27
6.05		1.112		1.266
6.1		1.098		1.26
6.15		1.085		1.251
6.2		1.072		1.24
6.25		1.06		1.226
6.3		1.048		1.21
6.35		1.038		1.194
6.4		1.028		1.18
6.45		1.02		1.168
6.5		1.012		1.16
6.55		1.004		1.149
6.6		0.995		1.13
