210.1	1.079	1.247
213.8	1.101	1.258
217.5	1.121	1.267
221.4	1.14	1.272
225.4	1.157	1.28
229.6	1.169	1.283
233.9	1.181	1.287
238.4	1.19	1.294
243.1	1.198	1.306
248	1.215	1.317
253	1.233	1.326
258.3	1.254	1.328
263.8	1.27	1.327
269.5	1.294	1.329
275.5	1.321	1.31
281.8	1.348	1.291
288.3	1.38	1.247
295.2	1.402	1.181
302.4	1.427	1.079
310	1.41	0.894
317.9	1.265	0.656
326.3	0.859	0.466
335.1	0.307	0.651
344.4	0.187	1.042
354.2	0.142	1.269
364.7	0.106	1.467
375.7	0.076	1.645
387.5	0.061	1.815
399.9	0.05	1.981
413.3	0.054	2.138
427.5	0.05	2.292
442.8	0.051	2.448
459.2	0.052	2.604
476.9	0.052	2.765
495.9	0.053	2.93
516.6	0.052	3.105
539.1	0.052	3.288
563.6	0.05168	3.483
590.4	0.05009	3.694
619.9	0.04977	3.918
652.5	0.04803	4.164
688.8	0.04964	4.432
729.3	0.0508	4.725
774.9	0.05151	5.048
826.6	0.05269	5.409
885.6	0.05504	5.814
953.7	0.05896	6.276
1033	0.06542	6.802
1127	0.07286	7.412
1240	0.08427	8.128
1305	0.09799	8.981
1378	0.1056	9.472
1459	0.1143	10.018
1550	0.1256	10.63
1653	0.1388	11.31
1771	0.1543	12.08
1907	0.1735	12.97
2066	0.1988	13.98
2254	0.2315	15.16
2480	0.2724	16.56
2755	0.3256	18.23
3100	0.397	20.26
3542	0.496	22.8
4133	0.6387	26.05
4959	0.8566	30.37
6199	1.228	36.37
8266	1.851	45.26
12400	3.227	59.73
