190.75	1.5038
193.73	1.5008
196.8	1.498
199.98	1.4952
203.25	1.4925
206.64	1.4899
210.14	1.4874
213.77	1.4849
217.52	1.4826
221.4	1.4803
225.43	1.4781
229.6	1.476
233.93	1.4739
238.43	1.4719
243.11	1.4699
247.97	1.468
253.03	1.4662
258.3	1.4645
263.8	1.4627
269.53	1.4611
275.52	1.4595
281.78	1.4579
288.34	1.4564
295.2	1.455
302.4	1.4536
309.96	1.4522
317.91	1.4509
326.28	1.4496
335.1	1.4484
344.4	1.4472
354.24	1.4461
364.66	1.4449
375.71	1.4439
387.45	1.4429
399.95	1.4419
413.28	1.4409
427.54	1.44
442.8	1.4391
459.2	1.4382
476.87	1.4374
495.94	1.4366
516.6	1.4359
539.07	1.4351
563.57	1.4345
590.41	1.4338
619.93	1.4331
652.55	1.4325
688.81	1.4319
729.32	1.4314
774.91	1.4308
826.57	1.4303
885.61	1.4297
953.73	1.4292
1033.21	1.4287
1127.14	1.4281
1239.85	1.4275
